,time,exp,func,param1,param2
222,70.08759,sort1,sort(),1000000,10000
223,70.177376,sort1,sort(),1000000,10000
224,69.94678,sort1,sort(),1000000,10000
225,69.912224,sort1,sort(),1000000,10000
226,69.87118,sort1,sort(),1000000,10000
227,69.88419,sort1,sort(),1000000,10000
228,69.41321,sort1,sort(),1000000,10000
229,73.63288,sort1,sort(),1000000,10000
230,81.86911,sort1,sort(),1000000,10000
231,74.38108,sort1,sort(),1000000,10000
232,67.71346,sort1,sort(),1000000,10000
233,71.572174,sort1,sort(),1000000,10000
234,69.292274,sort1,sort(),1000000,10000
235,71.10827,sort1,sort(),1000000,10000
236,73.43863,sort1,sort(),1000000,10000
237,70.549995,sort1,sort(),1000000,10000
238,69.826,sort1,sort(),1000000,10000
239,70.50563,sort1,sort(),1000000,10000
240,70.40192,sort1,sort(),1000000,10000
241,73.03782,sort1,sort(),1000000,10000
242,69.38528,sort1,sort(),1000000,10000
243,72.49855,sort1,sort(),1000000,10000
244,72.25155,sort1,sort(),1000000,10000
245,71.55446,sort1,sort(),1000000,10000
246,69.319115,sort1,sort(),1000000,10000
247,69.72811,sort1,sort(),1000000,10000
248,69.53083,sort1,sort(),1000000,10000
249,70.193665,sort1,sort(),1000000,10000
250,73.264694,sort1,sort(),1000000,10000
251,69.67132,sort1,sort(),1000000,10000
252,71.36615,sort1,sort(),1000000,10000
253,70.1125,sort1,sort(),1000000,10000
254,69.42755,sort1,sort(),1000000,10000
255,70.74284,sort1,sort(),1000000,10000
256,72.46502,sort1,sort(),1000000,10000
257,73.77196,sort1,sort(),1000000,10000
258,72.26552,sort1,sort(),1000000,10000
259,90.607155,sort1,sort(),1000000,10000
260,70.76437,sort1,sort(),1000000,10000
261,70.6934,sort1,sort(),1000000,10000
262,69.80272,sort1,sort(),1000000,10000
263,74.15337,sort1,sort(),1000000,10000
264,70.98252,sort1,sort(),1000000,10000
265,71.859825,sort1,sort(),1000000,10000
266,70.04896,sort1,sort(),1000000,10000
267,70.43975,sort1,sort(),1000000,10000
268,69.70424,sort1,sort(),1000000,10000
269,70.30141,sort1,sort(),1000000,10000
270,71.47756,sort1,sort(),1000000,10000
271,71.347,sort1,sort(),1000000,10000
272,72.24218,sort1,sort(),1000000,10000
273,71.347786,sort1,sort(),1000000,10000
274,68.66916,sort1,sort(),1000000,10000
275,69.57324,sort1,sort(),1000000,10000
276,69.246864,sort1,sort(),1000000,10000
277,70.08014,sort1,sort(),1000000,10000
278,71.88429,sort1,sort(),1000000,10000
279,69.85204,sort1,sort(),1000000,10000
280,70.02378,sort1,sort(),1000000,10000
281,69.89898,sort1,sort(),1000000,10000
282,70.21251,sort1,sort(),1000000,10000
283,69.53636,sort1,sort(),1000000,10000
284,69.5225,sort1,sort(),1000000,10000
285,73.65554,sort1,sort(),1000000,10000
286,72.927,sort1,sort(),1000000,10000
287,73.081215,sort1,sort(),1000000,10000
288,71.31908,sort1,sort(),1000000,10000
289,67.90839,sort1,sort(),1000000,10000
290,69.30872,sort1,sort(),1000000,10000
291,69.4544,sort1,sort(),1000000,10000
292,72.41293,sort1,sort(),1000000,10000
293,69.63312,sort1,sort(),1000000,10000
294,70.23117,sort1,sort(),1000000,10000
295,70.3376,sort1,sort(),1000000,10000
296,68.76621,sort1,sort(),1000000,10000
297,69.51448,sort1,sort(),1000000,10000
298,69.44967,sort1,sort(),1000000,10000
299,71.82037,sort1,sort(),1000000,10000
300,123.415535,sort1,sorted(),1000000,10000
301,113.25029,sort1,sorted(),1000000,10000
302,112.78692,sort1,sorted(),1000000,10000
303,114.21928,sort1,sorted(),1000000,10000
304,113.783775,sort1,sorted(),1000000,10000
305,113.092,sort1,sorted(),1000000,10000
306,113.577354,sort1,sorted(),1000000,10000
307,113.0552,sort1,sorted(),1000000,10000
308,117.15324,sort1,sorted(),1000000,10000
309,117.090385,sort1,sorted(),1000000,10000
310,112.23748,sort1,sorted(),1000000,10000
311,111.90585,sort1,sorted(),1000000,10000
312,116.66558,sort1,sorted(),1000000,10000
313,112.47388,sort1,sorted(),1000000,10000
